Zeus,software,c:20395,GBR,London,5768326,series-c+,2005-03-08
Zinwave,mobile,c:20398,GBR,London,9961963,series-b,2008-03-06
Bundle Tech,ecommerce,c:20610,GBR,London,500000,angel,2009-01-01
goviral,games_video,c:20638,GBR,London,8820000,series-a,2009-03-24
BioVex,biotech,c:20050,GBR,Oxon,40000000,series-c+,2009-03-30
Musicmetric,music,c:20885,GBR,London,599275,angel,2008-12-01
Aspects Software,mobile,c:21203,GBR,United Kingdom - Other,7761532,series-a,2002-12-01
Specle,advertising,c:21487,GBR,London,220127,angel,2009-04-09
Teachable,ecommerce,c:21563,GBR,London,158568,angel,2008-03-01
MulliganPlus,web,c:22054,GBR,United Kingdom - Other,10000,angel,2008-01-14
Glasses Direct,ecommerce,c:3839,GBR,Groundwell,14553230,series-b,2009-04-21
Smarkets,sports,c:5332,GBR,London,210000,angel,2009-04-01
borro,finance,c:22421,GBR,London,2500000,series-a,2008-10-10
Software Cellular Network,web,c:309,GBR,London,32770000,series-b,2008-04-17
ARKeX,consulting,c:20048,GBR,London,30690000,series-c+,2008-06-06
Inuk Networks,games_video,c:2561,GBR,Abercynon,18560000,series-b,2008-05-02
Telinet,network_hosting,c:22718,GBR,London,21720000,venture,2008-06-03
Tipstar,ecommerce,c:23091,GBR,gateshead,212361,angel,2009-03-01
Exabre,web,c:545,GBR,Bath,8500000,venture,2008-05-01
RocketPlay,games_video,c:6475,GBR,London,1000000,venture,2009-05-19
Aria Networks,software,c:23323,GBR,London,3950000,series-a,2008-06-10
MMIC Solutions,semiconductor,c:23361,GBR,Herefordshire,5250000,series-a,2008-05-30
Garlik,software,c:23372,GBR,London,5000000,venture,2008-06-01
siXis,semiconductor,c:23373,GBR,Raleigh-Durham,5000000,series-a,2008-06-01
Gnodal,network_hosting,c:23418,GBR,Bristol,2190000,series-a,2008-04-04
Caspian Learning,software,c:23420,GBR,United Kingdom - Other,2950000,venture,2008-06-23
The Key Revolution,software,c:23429,GBR,Newbury,2460000,venture,2008-06-26
Cascade Technologies,semiconductor,c:23439,GBR,Stirling,1980000,series-c+,2008-04-21
Factonomy,software,c:23542,GBR,Musselburgh,1690000,series-b,2008-05-30
Domainex,biotech,c:23594,GBR,United Kingdom - Other,718000,venture,2008-04-23
eflow,software,c:23603,GBR,London,649000,venture,2008-05-27
CMS Global Technologies,software,c:23605,GBR,Swindon,589000,series-b,2008-05-28
Warwick Warp,software,c:23634,GBR,Coventry,1190000,venture,2008-06-23
GO-SIM,web,c:23681,GBR,North Yorkshire,494000,series-b,2008-06-02
Autoquake,ecommerce,c:23695,GBR,London,11890000,series-b,2008-05-11
Breeze Tech,mobile,c:23697,GBR,London,1580000,venture,2008-06-20
Silver Lining Solutions,software,c:23705,GBR,Rugby,987000,venture,2008-05-05
Infoflow,software,c:23805,GBR,Sheffield,199000,venture,2008-06-23
YR Free,mobile,c:23817,GBR,Daresbury,71370,angel,2009-02-01
Seatwave,ecommerce,c:1961,GBR,London,17000000,series-c+,2009-06-01
Upstream,other,c:23880,GBR,SF Bay,15291100,venture,2009-05-27
Autoquake,ecommerce,c:23695,GBR,London,6000000,series-a,2006-07-01
Autoquake,ecommerce,c:23695,GBR,London,11911765,series-b,2008-04-01
Autoquake,ecommerce,c:23695,GBR,London,5755377,series-c+,2009-04-01
Rapid Action Packaging,cleantech,c:23981,GBR,London,7920000,series-a,2008-04-23
Kublax,web,c:3840,GBR,London,1340300,angel,2009-05-05
SLR Consulting,cleantech,c:24191,GBR,Bucks,64420000,series-c+,2008-06-04
Sapphire Energy,cleantech,c:24196,GBR,San Diego,50000000,series-c+,2008-05-28
Vibrant Energy,cleantech,c:24265,GBR,London,2920000,series-a,2008-06-13
Wonga,web,c:661,GBR,London,22250000,series-b,2009-06-08
Horizon Discovery,biotech,c:24355,GBR,London,298000,series-a,2008-04-07
Procarta Biosystems,biotech,c:24361,GBR,Colney Lane,631000,venture,2008-06-06
Morgan Everett,cleantech,c:24372,GBR,Hampshire,930000,series-b,2008-05-31
Green Gas International,cleantech,c:24375,GBR,London,780000,series-c+,2008-05-31
Micrima,biotech,c:24432,GBR,United Kingdom - Other,3990000,venture,2008-04-22
isango!,web,c:24445,GBR,London,8000000,series-a,2008-03-01
AlertMe,cleantech,c:7712,GBR,London,13000000,series-a,2009-06-11
Tribold,software,c:24639,GBR,London,11000000,venture,2009-01-14
Icera,mobile,c:24295,GBR,Bristol,40000000,series-c+,2006-03-15
Icera,mobile,c:24295,GBR,Bristol,60000000,venture,2008-12-12
Icera,mobile,c:24295,GBR,Bristol,10000000,other,2008-12-12
Phorm,advertising,c:2625,GBR,London,65000000,series-a,2008-03-19
Phorm,advertising,c:2625,GBR,London,24000000,series-b,2009-06-10
MyBuilder,web,c:21856,GBR,London,68525,angel,2007-09-01
Proximagen,biotech,c:25016,GBR,London,80500000,venture,2009-06-05
UnLtdWorld,enterprise,c:1846,GBR,London,510295,angel,2007-10-15
PeoplePerHour.com,web,c:2145,GBR,London,620969,angel,2009-01-01
CamSemi,cleantech,c:20051,GBR,London,8000000,series-c+,2008-05-20
BaseKit Platform,web,c:10794,GBR,London,2600000,venture,2010-06-15
Skimlinks,advertising,c:2942,GBR,London,1020000,venture,2009-02-23
fav.or.it,web,c:1226,GBR,London,712000,series-b,2009-02-18
uberVU,web,c:12839,GBR,London,512640,venture,2009-01-30
Posh Eyes,ecommerce,c:25098,GBR,London,3621,angel,2005-06-01
Eclector,ecommerce,c:25294,GBR,Bath,96123,angel,2008-08-10
Eclector,ecommerce,c:25294,GBR,Bath,168293,angel,2010-05-01
Imagination Technologies,semiconductor,c:25380,GBR,Kings Langley,38498848,venture,2009-06-01
Imagination Technologies,semiconductor,c:25380,GBR,Kings Langley,47942012,venture,2008-12-01
F2G,biotech,c:25400,GBR,Manchester,11754244,venture,2008-08-18
Glaxstar,software,c:3391,GBR,Birmingham,1000000,series-b,2009-06-25
Imagination Technologies,semiconductor,c:25380,GBR,Kings Langley,5170000,venture,2009-06-26
Imagination Technologies,semiconductor,c:25380,GBR,Kings Langley,9863479,venture,2006-10-01
Mirics Semiconductor,semiconductor,c:25870,GBR,Fleet Hampshire,7000000,venture,2009-01-05
NPS,cleantech,c:25903,GBR,Tewkesbury,9700000,venture,2008-05-16
Venda,ecommerce,c:17751,GBR,London,6000000,series-b,2009-01-26
Zemanta,web,c:3651,GBR,London,1500000,series-a,2008-06-01
Zemanta,web,c:3651,GBR,London,750000,angel,2008-09-15
OmPrompt,enterprise,c:26169,GBR,London,1410053,venture,2009-03-02
LicenseMetrics,software,c:26198,GBR,Cheshire,1264400,venture,2009-02-27
Lexara,ecommerce,c:26202,GBR,London,1090000,venture,2009-01-13
bizk.it,enterprise,c:12064,GBR,London,300000,angel,2008-02-07
Zkatter,mobile,c:10542,GBR,London,1500000,series-a,2008-01-01
Central Test,other,c:26357,GBR,London,941000,venture,2009-03-03
Adventi,consulting,c:26412,GBR,Bellshill,840000,venture,2009-03-03
Testplant,software,c:26413,GBR,London,764000,venture,2009-01-09
Imagination Technologies,semiconductor,c:25380,GBR,Kings Langley,898913,venture,2008-12-01
TweetMeme,web,c:4350,GBR,London,213480,angel,2007-10-01
TweetMeme,web,c:4350,GBR,London,695850,angel,2009-01-01
Enecsys,cleantech,c:26569,GBR,London,9900000,series-a,2009-06-24
Compound Semiconductor Technologies,semiconductor,c:26594,GBR,Glasgow,5980000,venture,2009-05-27
Slurp.co.uk,ecommerce,c:26665,GBR,London,200000,angel,2006-06-01
AgileJ Limited,software,c:26668,GBR,Surbiton,100000,angel,2006-06-01
Pufferfish,other,c:26677,GBR,Edinburgh,630000,venture,2009-02-23
Garlik,software,c:23372,GBR,London,2340000,series-c+,2009-04-23
Biometric Security,security,c:26709,GBR,Chertsey,2004450,venture,2009-05-07
Phasor Solutions,hardware,c:26711,GBR,London,1318104,venture,2009-04-07
Chroma Therapeutics,biotech,c:26730,GBR,Oxon,24500000,venture,2009-06-23
Directa Plus,hardware,c:26789,GBR,London,4260000,venture,2009-06-03
CIQUAL,enterprise,c:26794,GBR,Edinburgh,1798555,venture,2009-04-01
Antix Labs,games_video,c:26811,GBR,Berkshire,3000000,venture,2009-05-19
Mesuro,manufacturing,c:26815,GBR,United Kingdom - Other,1645631,series-a,2009-06-02
citysocializer,social,c:27123,GBR,London,360000,venture,2009-03-10
OfficialVirtualDJ,music,c:27229,GBR,London,34752500,series-a,2009-07-11
AWS Electronics,enterprise,c:27622,GBR,United Kingdom - Other,9915756,venture,2008-09-29
Kurtosys,enterprise,c:27645,GBR,London,8500000,series-b,2008-08-05
Testplant,software,c:26413,GBR,London,1800000,venture,2008-09-08
Nujira,hardware,c:27694,GBR,United Kingdom - Other,18000000,series-c+,2008-09-15
Antenova,hardware,c:27855,GBR,Stow-cum-Quy,6500000,venture,2008-10-21
Official Limited Virtual,music,c:27866,GBR,London,170604000,series-a,2009-07-20
OpenCloud,network_hosting,c:27892,GBR,London,10000000,series-b,2008-07-10
bizk.it,enterprise,c:12064,GBR,London,1000000,series-a,2009-01-04
BullGuard,software,c:27953,GBR,London,5000000,venture,2008-12-09
Nanotech Semiconductor,semiconductor,c:28033,GBR,Bristol,5000000,venture,2008-08-12
smartfundit.com,software,c:28054,GBR,Camberley,5170000,series-a,2008-12-04
Intelligent Energy,cleantech,c:28298,GBR,Loughborough,30000000,venture,2009-07-21
